,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.008594131469726563,0.002575744804309235,0.008595514297485351,0.003926975393394458,entropy,2,2,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 2}",0.9230769230769231,0.9230769230769231,0.9340659340659341,0.9560439560439561,0.8555555555555555,0.9183638583638583,0.03363228746955508,37
1,0.01319127082824707,0.008465800255461278,0.004597616195678711,0.00185327319375392,entropy,2,5,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 5}",0.9230769230769231,0.9230769230769231,0.9340659340659341,0.9560439560439561,0.8555555555555555,0.9183638583638583,0.03363228746955508,37
2,0.013391351699829102,0.005423409441142902,0.00659489631652832,0.0020580343011291974,entropy,2,10,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 10}",0.9230769230769231,0.9230769230769231,0.9340659340659341,0.9560439560439561,0.8555555555555555,0.9183638583638583,0.03363228746955508,37
3,0.009192085266113282,0.0033106182296666767,0.005199003219604492,0.0016021975333719556,entropy,2,15,"{'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 15}",0.9230769230769231,0.9230769230769231,0.9340659340659341,0.9560439560439561,0.8555555555555555,0.9183638583638583,0.03363228746955508,37
4,0.008992576599121093,0.0030345340574334484,0.0035982608795166017,0.0011991819967844843,entropy,3,2,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 2}",0.9230769230769231,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9222222222222223,0.9316971916971918,0.008411129926742426,22
5,0.00739593505859375,0.0020581570274918345,0.00719747543334961,0.005451385279834964,entropy,3,5,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 5}",0.9230769230769231,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9,0.9272527472527473,0.015296450673674987,27
6,0.009394550323486328,0.008304421163909129,0.005394411087036133,0.0011961665302863895,entropy,3,10,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 10}",0.9230769230769231,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9,0.9272527472527473,0.015296450673674987,27
7,0.0073983192443847655,0.002577721954596606,0.0057944774627685545,0.003653171142291612,entropy,3,15,"{'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 15}",0.9230769230769231,0.9340659340659341,0.945054945054945,0.9340659340659341,0.9,0.9272527472527473,0.015296450673674987,27
8,0.007595586776733399,0.0039269390346332814,0.009395408630371093,0.0046299045483848035,entropy,5,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 2}",0.9340659340659341,0.945054945054945,0.967032967032967,0.9560439560439561,0.9222222222222223,0.9448840048840049,0.015784405622926455,1
9,0.006793308258056641,0.001164728697364334,0.007595634460449219,0.00870380745161184,entropy,5,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 5}",0.9230769230769231,0.945054945054945,0.945054945054945,0.9560439560439561,0.9,0.9338461538461539,0.02002775516464969,15
10,0.006796646118164063,0.0024807366765580807,0.0037986278533935548,0.0016015961054571394,entropy,5,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 10}",0.9340659340659341,0.9560439560439561,0.9560439560439561,0.9560439560439561,0.9,0.9404395604395605,0.02193842586983347,6
11,0.005846214294433594,0.001973929082863532,0.005147123336791992,0.0029995838454799522,entropy,5,15,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9,0.9338461538461539,0.018783174170744172,15
12,0.009593915939331055,0.003717699838139761,0.005797290802001953,0.0027844384593806028,entropy,10,2,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2}",0.9340659340659341,0.9230769230769231,0.9230769230769231,0.945054945054945,0.9333333333333333,0.9317216117216118,0.008189414571418063,21
13,0.011193180084228515,0.006301777820938349,0.00819535255432129,0.00499252484049782,entropy,10,5,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 5}",0.967032967032967,0.9230769230769231,0.945054945054945,0.945054945054945,0.9222222222222223,0.9404884004884005,0.01663209839856405,4
14,0.0067961692810058595,0.0020387119215742435,0.005396986007690429,0.002798485842755089,entropy,10,10,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 10}",0.9560439560439561,0.9230769230769231,0.9560439560439561,0.9560439560439561,0.9111111111111111,0.9404639804639805,0.019453059507673096,5
15,0.009996604919433594,0.0028284931412606968,0.005394887924194336,0.002571703713288771,entropy,10,15,"{'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 15}",0.9340659340659341,0.9340659340659341,0.9560439560439561,0.945054945054945,0.9,0.9338461538461539,0.018783174170744172,15
16,0.00939645767211914,0.004360240892169572,0.004595422744750976,0.0013584628236211222,entropy,15,2,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2}",0.9560439560439561,0.9230769230769231,0.9230769230769231,0.945054945054945,0.9444444444444444,0.9383394383394383,0.0131278926063156,7
17,0.006195163726806641,0.002132344727748735,0.007196378707885742,0.0036527943587421324,entropy,15,5,"{'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5}",0.945054945054945,0.9230769230769231,0.945054945054945,0.945054945054945,0.9222222222222223,0.9360927960927962,0.010979673145623387,12
